indice_tiempo,total_amba,colectivo_amba,subte_amba,tren_amba
2021-06-14,2153280,2052967,127891,364285
2021-06-15,2187158,2084554,131354,363838
2021-06-16,2281796,2178433,130778,364626
2021-06-17,2307015,2203262,135405,363218
2021-06-18,2435212,2324513,156602,394598
2021-06-19,1677813,1616478,71459,205901
2021-06-20,859032,828590,32648,84845
2021-06-21,914810,880537,37664,108283
2021-06-22,2395851,2287631,137628,380885
2021-06-23,2321282,2216069,136750,368963
2021-06-24,2257821,2154982,138148,354413
2021-06-25,2498955,2386906,147392,398220
2021-06-26,1592490,1526488,74442,227137
2021-06-27,767277,740586,32237,73598
2021-06-28,2217201,2114888,135378,356585
2021-06-29,2262025,2158718,135790,359617
2021-06-30,2320621,2215082,138882,363236
2021-07-01,2374807,2265773,145154,373541
2021-07-02,2509298,2397001,153489,398886
2021-07-03,1785491,1712792,82661,242526
2021-07-04,1001034,963839,40815,102669
2021-07-05,2502793,2390221,147657,395679
2021-07-06,2501561,2386714,152503,392635
2021-07-07,2361643,2255210,148374,369159
2021-07-08,2691003,2576135,173282,394815
2021-07-09,1369110,1308834,66246,184441
2021-07-10,1739733,1665368,85208,239961
2021-07-11,1001823,962294,42953,110080
2021-07-12,2282956,2175840,149132,355900
2021-07-13,2506515,2388267,159826,394705
2021-07-14,2486747,2369036,161725,391219
2021-07-15,2583915,2473006,171124,350720
2021-07-16,2700233,2574006,179240,420974
2021-07-17,1823179,1742414,99647,256053
2021-07-18,946803,906647,49764,100764
2021-07-19,2311270,2196479,154977,394364
2021-07-20,2462990,2340191,170262,406680
2021-07-21,2395552,2274736,163348,402315
2021-07-22,2414833,2295135,166297,402334
2021-07-23,2524719,2400652,174434,425729
2021-07-24,1776242,1699158,98443,244361
2021-07-25,928841,890671,49251,98081
2021-07-26,2340185,2221045,160881,405275
2021-07-27,2320395,2200718,163457,400659
2021-07-28,2309211,2190593,168254,390860
2021-07-29,2340182,2219752,167747,395167
2021-07-30,2485030,2361168,175676,420409
2021-07-31,1868161,1788381,106787,235022
2021-08-01,1108671,1064183,59230,101803
2021-08-02,2604437,2474047,174196,426812
2021-08-03,2669130,2536159,179736,426506
2021-08-04,2720146,2583753,185511,433014
2021-08-05,2743802,2604268,200968,443474
2021-08-06,2893313,2751045,198829,480981
2021-08-07,2078492,1977466,137083,311901
2021-08-08,821429,787498,44213,88369
2021-08-09,2342401,2219109,174849,384634
2021-08-10,2794020,2653138,197161,445162
2021-08-11,2852183,2707376,202278,456248
2021-08-12,2863108,2715306,204858,463821
2021-08-13,2961278,2809841,213149,490715
2021-08-14,2079968,1984866,124050,289683
2021-08-15,1213136,1159560,71863,129286
2021-08-16,1237852,1177868,70525,158877
2021-08-17,2892212,2740623,208159,471968
2021-08-18,2948116,2789870,233432,490204
2021-08-19,2739930,2593415,209337,438740
2021-08-20,3042765,2885002,223827,496658
2021-08-21,1991740,1898623,120183,282645
2021-08-22,1195257,1139784,67608,133884
2021-08-23,2845435,2694074,208250,462942
2021-08-24,2895759,2738944,217131,472578
2021-08-25,2929298,2772632,217045,478965
2021-08-26,2927735,2768420,220952,481003
2021-08-27,3006381,2845584,234405,501352
2021-08-28,2022402,1924391,125893,295341
2021-08-29,1207640,1151414,68810,138212
